Date,Hours,Opn_Hrs
10/30/2007,1.5,0.8
10/31/2007,0,0
11/1/2007,0,0
11/2/2007,0,0
11/3/2007,0,0
11/4/2007,0,0
11/5/2007,20,14.01277178
11/6/2007,0,0
11/7/2007,0,0
11/8/2007,0,0
11/9/2007,0,0
11/10/2007,0,0
11/11/2007,0,0
11/12/2007,0,0
11/13/2007,0,0
11/14/2007,0,0
11/15/2007,0,0
11/16/2007,24,9.942102628
11/17/2007,0,0
11/18/2007,0,0
11/19/2007,7,0.290159651
11/20/2007,0,0
11/21/2007,0,0
11/22/2007,10,7.170122623
11/23/2007,7,1.976068656
11/24/2007,0,0
11/25/2007,0,0
11/26/2007,0,0
11/27/2007,13,11.34894735
11/28/2007,23,14.82322801
11/29/2007,0,0
11/30/2007,0,0
12/1/2007,0,0
12/2/2007,0,0
12/3/2007,0,0
12/4/2007,0,0
12/5/2007,0,0
12/6/2007,0,0
12/7/2007,16,15.5276033
12/8/2007,0,0
12/9/2007,14,1.704475055
12/10/2007,0,0
12/11/2007,0,0
12/12/2007,0,0
12/13/2007,0,0
12/14/2007,0,0
12/15/2007,0,0
12/16/2007,0,0
12/17/2007,0,0
12/18/2007,5,1.62240401
12/19/2007,0,0
12/20/2007,0,0
12/21/2007,0,0
12/22/2007,23,17.72846041
12/23/2007,0,0
12/24/2007,0,0
12/25/2007,6,4.493883303
12/26/2007,0,0
12/27/2007,0,0
12/28/2007,0,0
12/29/2007,0,0
12/30/2007,0,0
12/31/2007,0,0
1/1/2008,0,0
1/2/2008,3,1.391233413
1/3/2008,0,0
1/4/2008,9,2.674874665
1/5/2008,0,0
1/6/2008,0,0
1/7/2008,0,0
1/8/2008,0,0
1/9/2008,0,0
1/10/2008,0,0
1/11/2008,0,0
1/12/2008,19,1.829530794
1/13/2008,0,0
1/14/2008,0,0
1/15/2008,0,0
1/16/2008,0,0
1/17/2008,0,0
1/18/2008,18,3.310554162
1/19/2008,0,0
1/20/2008,6,4.214577305
1/21/2008,0,0
1/22/2008,0,0
1/23/2008,0,0
1/24/2008,16,0.549991469
1/25/2008,22,3.247554144
1/26/2008,0,0
1/27/2008,0,0
1/28/2008,0,0
1/29/2008,0,0
1/30/2008,11,8.833781199
1/31/2008,15,12.50464091
2/1/2008,0,0
2/2/2008,0,0
2/3/2008,15,10.62205159
2/4/2008,0,0
2/5/2008,0,0
2/6/2008,0,0
2/7/2008,0,0
2/8/2008,0,0
2/9/2008,0,0
2/10/2008,9,4.867211379
2/11/2008,0,0
2/12/2008,0,0
2/13/2008,0,0
2/14/2008,0,0
2/15/2008,1,0.182874883
2/16/2008,22,14.84318077
2/17/2008,12,0.574552438
2/18/2008,0,0
2/19/2008,0,0
2/20/2008,4,0.791568449
2/21/2008,0,0
2/22/2008,0,0
