Date,Hours,Opn_Hrs
7/22/1999,0,0
7/23/1999,0,0
7/24/1999,4,3.349951518
7/25/1999,1,0.535964285
7/26/1999,0,0
7/27/1999,0,0
7/28/1999,0,0
7/29/1999,10,8.719804251
7/30/1999,0,0
7/31/1999,0,0
8/1/1999,0,0
8/2/1999,0,0
8/3/1999,0,0
8/4/1999,0,0
8/5/1999,0,0
8/6/1999,0,0
8/7/1999,0,0
8/8/1999,0,0
8/9/1999,0,0
8/10/1999,0,0
8/11/1999,19,5.970367764
8/12/1999,0,0
8/13/1999,0,0
8/14/1999,0,0
8/15/1999,0,0
8/16/1999,0,0
8/17/1999,0,0
8/18/1999,18,17.21789855
8/19/1999,0,0
8/20/1999,3,0.341100897
8/21/1999,16,11.23282765
8/22/1999,0,0
8/23/1999,0,0
8/24/1999,0,0
8/25/1999,0,0
8/26/1999,0,0
8/27/1999,0,0
8/28/1999,0,0
8/29/1999,0,0
8/30/1999,0,0
8/31/1999,12,6.566516405
9/1/1999,0,0
9/2/1999,18,17.53689945
9/3/1999,0,0
9/4/1999,0,0
9/5/1999,0,0
9/6/1999,0,0
9/7/1999,0,0
9/8/1999,0,0
9/9/1999,0,0
9/10/1999,0,0
9/11/1999,0,0
9/12/1999,0,0
9/13/1999,0,0
9/14/1999,4,2.644928469
9/15/1999,0,0
9/16/1999,4,3.538607259
9/17/1999,23,17.28270125
9/18/1999,0,0
9/19/1999,0,0
9/20/1999,0,0
9/21/1999,0,0
9/22/1999,0,0
9/23/1999,0,0
9/24/1999,0,0
9/25/1999,0,0
9/26/1999,6,5.913622617
9/27/1999,0,0
9/28/1999,0,0
9/29/1999,0,0
9/30/1999,0,0
10/1/1999,13,2.834335576
10/2/1999,0,0
10/3/1999,0,0
10/4/1999,0,0
10/5/1999,0,0
10/6/1999,0,0
10/7/1999,0,0
10/8/1999,0,0
10/9/1999,0,0
10/10/1999,16,3.184025905
10/11/1999,0,0
10/12/1999,0,0
10/13/1999,24,0.42200965
10/14/1999,0,0
10/15/1999,0,0
10/16/1999,12,6.248992733
10/17/1999,0,0
10/18/1999,0,0
10/19/1999,0,0
10/20/1999,0,0
10/21/1999,0,0
10/22/1999,0,0
10/23/1999,0,0
10/24/1999,0,0
10/25/1999,18,10.64080456
10/26/1999,17,7.929694834
10/27/1999,0,0
10/28/1999,0,0
10/29/1999,0,0
10/30/1999,0,0
10/31/1999,0,0
11/1/1999,0,0
11/2/1999,15,0.696932329
11/3/1999,0,0
11/4/1999,1,0.319971162
11/5/1999,0,0
11/6/1999,24,0.880505444
11/7/1999,4,0.397262113
11/8/1999,5,0.993500605
11/9/1999,0,0
11/10/1999,0,0
11/11/1999,0,0
11/12/1999,0,0
11/13/1999,0,0
11/14/1999,20,6.033958749
11/15/1999,0,0
11/16/1999,0,0
11/17/1999,0,0
11/18/1999,0,0
11/19/1999,0,0
11/20/1999,5,3.559050994
11/21/1999,0,0
11/22/1999,0,0
11/23/1999,19,2.226122437
11/24/1999,0,0
11/25/1999,0,0
11/26/1999,0,0
11/27/1999,0,0
11/28/1999,9,7.063457524
11/29/1999,0,0
11/30/1999,0,0
12/1/1999,0,0
12/2/1999,0,0
12/3/1999,5,4.216842162
12/4/1999,0,0
12/5/1999,0,0
12/6/1999,8,4.500960143
12/7/1999,0,0
12/8/1999,0,0
12/9/1999,0,0
12/10/1999,0,0
12/11/1999,0,0
12/12/1999,0,0
12/13/1999,9,3.360979197
12/14/1999,19,7.948779935
12/15/1999,0,0
12/16/1999,0,0
12/17/1999,0,0
12/18/1999,0,0
12/19/1999,0,0
12/20/1999,0,0
12/21/1999,0,0
12/22/1999,0,0
12/23/1999,15,9.645783456
12/24/1999,0,0
12/25/1999,0,0
12/26/1999,0,0
12/27/1999,0,0
12/28/1999,4,3.399538409
12/29/1999,24,12.8118103
12/30/1999,0,0
12/31/1999,2,0.758319227
1/1/2000,16,5.624998647
1/2/2000,0,0
1/3/2000,0,0
1/4/2000,0,0
1/5/2000,0,0
1/6/2000,6,5.809450605
1/7/2000,0,0
1/8/2000,0,0
1/9/2000,10,2.262154981
1/10/2000,24,12.32576636
1/11/2000,0,0
1/12/2000,11,5.997820835
1/13/2000,23,11.65651679
1/14/2000,0,0
1/15/2000,17,0.216846132
1/16/2000,0,0
1/17/2000,0,0
1/18/2000,0,0
1/19/2000,0,0
1/20/2000,0,0
1/21/2000,0,0
1/22/2000,0,0
1/23/2000,0,0
1/24/2000,20,4.474369567
1/25/2000,10,9.421128259
1/26/2000,0,0
1/27/2000,0,0
1/28/2000,0,0
1/29/2000,0,0
1/30/2000,11,1.991118736
1/31/2000,0,0
2/1/2000,0,0
2/2/2000,4,2.062662979
2/3/2000,9,3.905062626
2/4/2000,0,0
2/5/2000,24,21.26968538
2/6/2000,0,0
2/7/2000,18,4.52131462
2/8/2000,0,0
2/9/2000,15,11.33080924
2/10/2000,0,0
2/11/2000,0,0
2/12/2000,0,0
2/13/2000,0,0
2/14/2000,0,0
2/15/2000,0,0
2/16/2000,0,0
2/17/2000,23,9.318630005
2/18/2000,0,0
2/19/2000,12,2.41641603
2/20/2000,0,0
2/21/2000,0,0
2/22/2000,20,18.34044481
2/23/2000,23,13.32009131
2/24/2000,0,0
2/25/2000,0,0
2/26/2000,0,0
2/27/2000,0,0
2/28/2000,0,0
2/29/2000,0,0
3/1/2000,4,3.001119295
3/2/2000,0,0
3/3/2000,0,0
3/4/2000,0,0
3/5/2000,0,0
3/6/2000,0,0
3/7/2000,0,0
3/8/2000,12,2.975441241
3/9/2000,10,3.432677278
3/10/2000,0,0
3/11/2000,0,0
3/12/2000,12,5.145437674
3/13/2000,0,0
3/14/2000,0,0
3/15/2000,0,0
3/16/2000,0,0
3/17/2000,0,0
3/18/2000,0,0
3/19/2000,0,0
3/20/2000,0,0
3/21/2000,0,0
3/22/2000,10,9.578126176
3/23/2000,0,0
3/24/2000,0,0
3/25/2000,11,0.629088012
3/26/2000,19,9.933829984
3/27/2000,0,0
3/28/2000,0,0
3/29/2000,0,0
3/30/2000,0,0
3/31/2000,0,0
4/1/2000,15,3.433173128
4/2/2000,0,0
4/3/2000,23,18.68672185
4/4/2000,0,0
4/5/2000,0,0
4/6/2000,0,0
4/7/2000,0,0
4/8/2000,0,0
4/9/2000,17,9.513988417
4/10/2000,0,0
4/11/2000,0,0
4/12/2000,0,0
4/13/2000,0,0
4/14/2000,0,0
4/15/2000,1,0.446472418
4/16/2000,17,8.514565967
4/17/2000,0,0
4/18/2000,0,0
4/19/2000,0,0
4/20/2000,21,9.725317454
4/21/2000,0,0
4/22/2000,0,0
4/23/2000,21,9.715752067
4/24/2000,0,0
4/25/2000,0,0
4/26/2000,0,0
4/27/2000,0,0
4/28/2000,20,15.44793314
4/29/2000,0,0
4/30/2000,16,13.58810907
5/1/2000,22,19.68540395
5/2/2000,0,0
5/3/2000,11,1.691894169
5/4/2000,22,7.354002302
5/5/2000,0,0
5/6/2000,0,0
5/7/2000,0,0
5/8/2000,0,0
5/9/2000,0,0
5/10/2000,3,1.02211346
5/11/2000,0,0
5/12/2000,0,0
5/13/2000,4,3.710273139
5/14/2000,0,0
5/15/2000,0,0
5/16/2000,0,0
5/17/2000,0,0
5/18/2000,0,0
5/19/2000,0,0
5/20/2000,0,0
5/21/2000,0,0
5/22/2000,0,0
5/23/2000,5,1.519702688
5/24/2000,0,0
5/25/2000,1,0.148939976
5/26/2000,0,0
5/27/2000,0,0
5/28/2000,0,0
5/29/2000,0,0
5/30/2000,0,0
5/31/2000,0,0
6/1/2000,0,0
6/2/2000,6,5.794700302
6/3/2000,0,0
6/4/2000,0,0
6/5/2000,0,0
6/6/2000,0,0
6/7/2000,0,0
6/8/2000,0,0
6/9/2000,22,0.883811525
6/10/2000,0,0
6/11/2000,0,0
6/12/2000,8,1.209870209
6/13/2000,0,0
6/14/2000,0,0
6/15/2000,0,0
6/16/2000,0,0
6/17/2000,1,0.829574776
6/18/2000,0,0
6/19/2000,0,0
6/20/2000,0,0
6/21/2000,0,0
6/22/2000,0,0
6/23/2000,0,0
6/24/2000,0,0
6/25/2000,0,0
6/26/2000,4,2.215394799
6/27/2000,0,0
6/28/2000,0,0
6/29/2000,0,0
